# "Loading... ","加载中... "
"Quickstart guide","快速入门指南","b"
"Control panel","控制面板","b"
"Dwarf Fortress","矮人要塞","c"
"Histories of Greed and Tenacity","贪婪与韧性的编年史","c"
"Histories of Greed and Toil","贪婪与辛劳的编年史","c"
"Histories of Jealousy and Mettle","嫉妒与勇气的编年史","c"
"Histories of Avarice and Exertion","贪婪与努力的编年史","c"
"Histories of Gluttony and Diligence","暴食与勤奋的编年史","c"
"Histories of Gluttony and Exertion","暴食与努力的编年史","c"
"Histories of Avarice and Dynamism","贪婪与活力的编年史","c"
"Histories of Jealousy and Resourcefulness","嫉妒与智谋的编年史","c"
"Histories of Jealousy and Tenacity","嫉妒与韧性的编年史","c"
# "Virtual keyboard for typing with the mouse.",""
"World name","世界名称"
"The Help button at the top of the screen contains more guides. Click it now, and this tutorial will be concluded.","屏幕上方的\a#E811FF帮助\a按钮有更多指南. 点击将结束教学.","s"
"Click the help button","点击帮助"
"Military","军事"
"Trade","贸易"
"[Completed]","[完成]"
"The game is open-ended and you can do whatever you choose.","这个游戏是开放式结局的, 你可以随心所欲."
"If you'd like a goal, try to join a village hearth and improve your reputation.","如果你实在想要一个目标的话, 去加入一个村庄, 然后提高你的声誉."
"If you'd like a goal, try to become a barony, then a Mountainhome.","如果你实在想要一个目标的话, 先成为一个领主, 然后建立一个山居."
"More likely, your dwarves will starve, unless you read the first few guides here!","更有可能的是, 不看前几条说明的话, 你的矮人会挨饿!"
"And remember: Losing is fun, and now it's personal!","且请牢记: \a#13FD65输了才好玩\a, 而且这回只输你一人!","s"
"And remember: Losing is fun!","且请牢记: \a#13FD65输了才好玩!\a","s"
"Last save: ","上次保存：","b"
"0 mins ago","{d} 分钟前","b"
"Here you can see every Item in the fortress. Click on category headings to collapse and expand them.","在这里你可以看到要塞中的所有\a#FFE111物品\a.\n单击类别标题折叠并展开它们.","s"
"If you don't have a Bookkeeper, or they don't have an Office to work in, numbers may be approximate.","如果你没有一位\a#A73CD5簿记员\a, 或者他没有一间用来工作的\a#71BBB0办公室\a,\n那么你库存中显示的数量将是模糊的大概的.","s"
"Animal traps","动物陷阱"
"ammunition","弹药"
"Ammunition","弹药"
"Amulets","护身符"
"amulet","护身符"
"Are you sure?","你确定么?","c"
"Are you sure you want to restore Enabled defaults for gameplay tools?","你确定要还原已启用默认值用于游戏工具吗？"
"Show up and down arrows over ramps at the current elevation.","在当前高度处的斜坡上\n显示向上和向下箭头.","s"
"Recenter on the deepest discovered area at this location.","在这个位置上,\n将中心放在最深的被发现区域.","s"
"Display water and magma depth numerically (0 to 0.)","使用数字({d}-{d})\n显示水和岩浆的深度.","s"
"Dig a regular hallway or room.  Assign a miner to the work detail if necessary.","挖一个普通的走廊或房间.\n如果有必要的话,\n给工作细节分配一个矿工.","s"
"The miner requires a pick.","矿工需要一个镐."
"Dig a stairwell on this level, going up or down.  Your selection must span multiple elevations.  Click on a tile, change elevations, and click again.","在这一层挖一个楼梯间,\n向上或向下.\n您的选择必须跨越多个高程.\n点击一个图块,更改海拔,\n然后再次点击.","s"
"Designate constructed walls, floors, and other constructed tiles to be removed by miners.  This also designates all stairwells and ramps.","指定建造的墙壁,\n地板和其他建造的瓷砖,\n由矿工拆除.\n这也指定了所有楼梯间和坡道.","s"
"Mark for uninterrupted digging through damp or warm tiles.","标记用于不间断挖掘\n穿过潮湿或温暖的图块.","s"
"Smooth a rough wall to make it more pleasing to your citizens.  This also prepares the wall for engraving or fortification.","将粗糙的墙壁打磨平整,\n让您的市民更满意.\n这也为雕刻或防御工事准备了墙壁.","s"
"Carve a track in a stone floor.  Tracks are used by minecarts with routes set in the hauling menu.","在石头地板上雕刻一条轨道.\n轨道由矿车使用,\n其路线在运输菜单中设置.","s"
"Carve a gap in a smooth wall to allow your archers to fire upon invaders.","在光滑的墙壁上开出一个缺口,\n让您的弓箭手可以向入侵者射击.","s"
"Open mass removal interface.","打开批量移除界面."
"Mass Remove","批量移除","c"
"Start painting a new stockpile.  Once the tiles are chosen, you'll be able to set the details.","开始画一个新的库存.\n一旦选择了瓷砖,你就可以设置细节.","s"
"This crucial building is where all trading will be done.  Pack animals from distant civilizations will need to access this building from the edge of the map.  Later, wagons will need a clear 0-wide path to the depot.","这座关键的建筑是所有贸易的地方.\n来自遥远文明的驮运动物\n将需要从地图的边缘进入这个建筑.\n后来, 马车将需要一条清晰的\n{d}米宽的小路通往车厂.","s"
"A useful workshop for pressing liquids from various sources. Some plants might need to be milled first before they can be used.","一个能够将各种素材压榨成液体的有用工坊,\n某些植物则需要预先碾磨才能使用.","s"
"Empty jugs are required to store the liquid products.","制成的液体需要用空壶来装."
"Amount needed: 0","所需数量: {d}"
"Dist: 0","距离: {d}"
"Click in the play area to paint the stockpile.","点击游玩区域来划定储物区."
"Accept","接受","c"
"Ornamental.","装饰品."
"Demanded",""
"by some nobles.","一些贵族需要它们."
"Toggle enabled","启用切换","b"
"Show full tool help or run custom command","显示完整工具帮助或执行自定义命令","b"
"Automatically butcher excess livestock.","自动屠宰超出需求的牲畜"
"Open Combat Log","打开战斗日志","b"
"Better Combat Log","优化战斗日志","b"
"Combat Log","战斗日志"
"Relations","关系"
"Groups","组"
"Thoughts","想法"
"Personality","性格"
"Overview","概述"
"Items","项目"
"Health","健康"
"Rooms","房间"
"Skills","技能"
"Labor","劳动"
"Status","要塞总览"
"Wounds","伤处"
"Treatment","治疗"
"History","历史"
"Description","描述"
"Social","社会"
"Knowledge","知识"
"Other skills","其他技能"
"Work details","工作细节"
"Workshops","工坊"
"Locations","地点"
"Work animals","家畜"
"Traits","性格"
"Values","价值观"
"Needs","需要"
"Recent thoughts","近期想法"
"Memories","记忆"
"Squad","分队"
"Uniform","制式服装"
"Kills","击杀数"
"Work Details","工作细节"
"Standing orders","常务委员会"
"Stone use","石头用途"
"Written content","书写内容"
"Named objects","被命名的物品"
"Symbols","符号"
"0 Years Old,","年龄：{d} 岁,"
"Make wooden chair","制作木椅"
"Fisherdwarf","捕鱼矮人"
"Sort units by professioncategory.","按专业类别对单位进行排序."
"Sort units by professionname.","按职业名称对单位进行排序."
"Cat","类别"
"Prof","职业"
"0% occupied","占用 {d}%"
"Open the general search and zoom interface.","打开通用搜索\n与缩放界面","s"
"Move selector up","向上移动选择器"
"Move selector down","向下移动选择器"
"Page selector up","页面选择器"
"Page selector down","页面选择器向下"
"Mouse-context scrollbar up","鼠标-上下文滚动条向上"
"Mouse-context scrollbar down","鼠标-上下文滚动条向下"
"Mouse-context scrollbar page up","鼠标-上下文滚动条向上翻页"
"Mouse-context scrollbar page down","鼠标-上下文滚动条向下翻页"
"Move keyboard cursor up","键盘光标向上移动"
"Move keyboard cursor down","键盘光标下移"
"Move keyboard cursor left","键盘光标左移"
"Move keyboard cursor right","键盘光标右移"
"Move keyboard cursor up and left","键盘光标向上和向左移动"
"Move keyboard cursor up and right","向上和向右移动键盘光标"
"Move keyboard cursor down and left","键盘光标向下和向左移动"
"Move keyboard cursor down and right","键盘光标向下和向右移动"
"Move keyboard cursor up, fast","向上移动键盘光标,快速"
"Move keyboard cursor down, fast","将键盘光标向下移动,快速"
"Move keyboard cursor left, fast","向左移动键盘光标,快速"
"Move keyboard cursor right, fast","向右移动键盘光标,快速"
"Move keyboard cursor up and left, fast","键盘光标向上和向左移动,快速"
"Information and guides","信息和指南"
"Survival","生存"
"Planting","种植"
"Other food sources","其他食物来源"
"Bins, bags, and barrels","箱子, 袋子和圆桶"
"Offices and administrative work","办公室和行政工作"
"Ore and smelting","矿石与熔炼"
"Traps and levers","陷阱和控制杆"
"Wells","井"
"Handling light aquifers","处理轻含水层"
"Clothing","服装"
"Meeting areas and locations","会议区域和地点"
"Ramps and channels","坡道和沟渠"
"Refuse and dumping","垃圾和倾倒"
"Dig deeper","向下再挖"
"Happiness and stress","幸福与压力"
"Goals","目标"
"Popup: Zones","弹窗:活动区"
"Popup: Burrows","弹窗:洞所"
"Popup: Hauling","弹窗:运输"
"Popup: Stocks","弹窗:库存"
"Popup: Work details","弹窗:工作信息"
"Popup: Nobles","弹窗:贵族"
"Popup: Justice","弹窗:司法"
"Popup: Squads","弹窗:小队"
"Popup: The world","弹窗:世界"
"Popup: Work orders","弹窗:工作清单"
"Gregarious","合群的"
"Values law","重视法律"
"Values loyalty","重视忠诚"
"Values family","重视家庭"
"Values friendship","重视友谊"
"Values power","重视权利"
"Values truth","重视真相"
"Values cunning","重视诡诈"
"Values eloquence","重视口才"
"Values fairness","重视公平"
"Values decorum","重视礼仪"
"Values tradition","重视传统"
"Values artwork","重视艺术作品"
"Values cooperation","重视合作"
"Values independence","重视独立"
"Values stoicism","重视恬淡寡欲"
"Values introspection","重视内省"
"Values self-control","重视自我控制"
"Values tranquility","重视安宁"
"Values harmony","重视和谐"
"Values merriment","重视狂欢"
"Values craftwork","重视手工艺品"
"Values martial prowess","重视武艺高强"
"Values skill","重视技能"
"Values hard work","重视勤劳"
"Values sacrifice","重视牺牲"
"Values competition","重视竞争"
"Values perseverance","重视坚持不懈"
"Values leisure time","重视闲暇时光"
"Values commerce","重视贸易"
"Values romance","重视爱情"
"Values nature","重视自然"
"Values peace","重视和平"
"Values knowledge","重视知识"
#[----------end reviewed dict----------]
